NAME_1,NAME_2,lon,lat,F.dap,F,FDATE,FMCD,FACD,FDEP,FAMN,FAMP,FAMK,FAMC,FAMO,FOCD,FERNAME,q25,q50,q75
Kisumu,Nyakach,34.825,-0.325,0,1,NA,FE006,AP004,5,39,69,0,-99,-99,-99,1st fert. 1st application,66,68,76
Kisumu,Nyakach,34.825,-0.325,42,2,NA,FE006,AP004,5,24,42,0,-99,-99,-99,1st fert. 2nd application,66,68,76
Kisumu,Nyakach,34.825,-0.325,0,1,NA,FE006,AP004,5,32,55,0,-99,-99,-99,2nd fert. 1st application,66,68,76
Kisumu,Nyakach,34.825,-0.325,42,2,NA,FE006,AP004,5,32,55,0,-99,-99,-99,2nd fert. 2nd application,66,68,76
Kisumu,Nyakach,34.825,-0.325,0,1,NA,FE006,AP004,5,24,42,0,-99,-99,-99,3rd fert. 1st application,66,68,76
Kisumu,Nyakach,34.825,-0.325,42,2,NA,FE006,AP004,5,39,69,0,-99,-99,-99,3rd fert. 2nd application,66,68,76
Kisumu,Nyakach,34.875,-0.325,0,1,NA,FE006,AP004,5,64,34,0,-99,-99,-99,1st fert. 1st application,61,78,79
Kisumu,Nyakach,34.875,-0.325,42,2,NA,FE006,AP004,5,39,20,0,-99,-99,-99,1st fert. 2nd application,61,78,79
Kisumu,Nyakach,34.875,-0.325,0,1,NA,FE006,AP004,5,52,27,0,-99,-99,-99,2nd fert. 1st application,61,78,79
Kisumu,Nyakach,34.875,-0.325,42,2,NA,FE006,AP004,5,52,27,0,-99,-99,-99,2nd fert. 2nd application,61,78,79
Kisumu,Nyakach,34.875,-0.325,0,1,NA,FE006,AP004,5,39,20,0,-99,-99,-99,3rd fert. 1st application,61,78,79
Kisumu,Nyakach,34.875,-0.325,42,2,NA,FE006,AP004,5,64,34,0,-99,-99,-99,3rd fert. 2nd application,61,78,79
Kisumu,Nyakach,34.925,-0.325,0,1,NA,FE006,AP004,5,45,32,0,-99,-99,-99,1st fert. 1st application,71,71,78
Kisumu,Nyakach,34.925,-0.325,42,2,NA,FE006,AP004,5,27,19,0,-99,-99,-99,1st fert. 2nd application,71,71,78
Kisumu,Nyakach,34.925,-0.325,0,1,NA,FE006,AP004,5,36,25,0,-99,-99,-99,2nd fert. 1st application,71,71,78
Kisumu,Nyakach,34.925,-0.325,42,2,NA,FE006,AP004,5,36,25,0,-99,-99,-99,2nd fert. 2nd application,71,71,78
Kisumu,Nyakach,34.925,-0.325,0,1,NA,FE006,AP004,5,27,19,0,-99,-99,-99,3rd fert. 1st application,71,71,78
Kisumu,Nyakach,34.925,-0.325,42,2,NA,FE006,AP004,5,45,32,0,-99,-99,-99,3rd fert. 2nd application,71,71,78
Kisumu,Nyakach,34.975,-0.325,0,1,NA,FE006,AP004,5,69,58,0,-99,-99,-99,1st fert. 1st application,69,69,79
Kisumu,Nyakach,34.975,-0.325,42,2,NA,FE006,AP004,5,41,35,0,-99,-99,-99,1st fert. 2nd application,69,69,79
Kisumu,Nyakach,34.975,-0.325,0,1,NA,FE006,AP004,5,55,46,0,-99,-99,-99,2nd fert. 1st application,69,69,79
Kisumu,Nyakach,34.975,-0.325,42,2,NA,FE006,AP004,5,55,46,0,-99,-99,-99,2nd fert. 2nd application,69,69,79
Kisumu,Nyakach,34.975,-0.325,0,1,NA,FE006,AP004,5,41,35,0,-99,-99,-99,3rd fert. 1st application,69,69,79
Kisumu,Nyakach,34.975,-0.325,42,2,NA,FE006,AP004,5,69,58,0,-99,-99,-99,3rd fert. 2nd application,69,69,79
